Wall time,Step,Value
1651107647.7454038,0,0.33250388503074646
1651107647.9671686,1,0.7853606343269348
1651107648.1872942,2,1.1584285497665405
1651107648.4117768,3,1.5053889751434326
1651107648.6911979,4,1.841615080833435
1651107648.9744747,5,2.1727192401885986
1651107649.2601736,6,2.50404691696167
1651107649.5372024,7,2.837489604949951
1651107649.821111,8,3.168745517730713
1651107650.0993757,9,3.4907748699188232
1651107650.3841133,10,3.9331634044647217
1651107650.6606333,11,4.255204200744629
1651107650.9515066,12,4.589188575744629
1651107651.2298558,13,4.918926239013672
1651107651.488131,14,5.265993118286133
1651107651.6287332,15,5.624939441680908
1651107651.7696881,16,5.987142086029053
1651107651.9099572,17,6.344176769256592
1651107652.1746464,18,6.679168224334717
1651107652.4224107,19,7.049384117126465
1651107652.6816187,20,7.385349750518799
1651107652.8277025,21,7.731954097747803
1651107653.0898018,22,8.073821067810059
1651107653.346362,23,8.403247833251953
1651107653.5480561,24,8.749518394470215
1651107653.661191,25,9.057125091552734
1651107653.9193063,26,9.495085716247559
1651107654.1766658,27,9.837922096252441
1651107654.3053129,28,10.181846618652344
1651107654.3975663,29,10.438892364501953
1651107654.5923104,30,10.792441368103027
1651107654.780269,31,11.135191917419434
1651107654.9777982,32,11.489178657531738
1651107655.2416623,33,11.826786041259766
1651107655.4971492,34,12.16561508178711
1651107655.7798393,35,12.498700141906738
1651107656.0655398,36,12.827873229980469
1651107656.3526495,37,13.158037185668945
1651107656.6389005,38,13.48866081237793
1651107656.9254878,39,13.816378593444824
1651107657.2124057,40,14.152372360229492
1651107657.489714,41,14.482004165649414
1651107657.761884,42,14.813634872436523
1651107658.0435414,43,15.145272254943848
1651107658.3055975,44,15.483335494995117
1651107658.5918927,45,15.81342601776123
1651107658.8756995,46,16.143320083618164
1651107659.1617625,47,16.599002838134766
1651107659.447598,48,16.929306030273438
1651107659.7340755,49,17.259639739990234
1651107660.019822,50,17.58985137939453
1651107660.3022196,51,17.920513153076172
1651107660.587995,52,18.251731872558594
1651107660.876089,53,18.58449363708496
1651107661.1566863,54,18.92159080505371
1651107661.2939513,55,19.27962303161621
1651107661.4330523,56,19.729358673095703
1651107661.570396,57,20.08834457397461
1651107661.85571,58,20.420339584350586
1651107662.1297169,59,20.740385055541992
1651107662.4116743,60,21.06664276123047
1651107662.6863804,61,21.388370513916016
1651107662.9516623,62,21.83104705810547
1651107663.218659,63,22.170570373535156
1651107663.5008008,64,22.499866485595703
1651107663.7225256,65,22.952789306640625
1651107663.8903112,66,23.3066463470459
1651107664.0580893,67,23.661109924316406
1651107664.343643,68,24.11429786682129
1651107664.6302943,69,24.444931030273438
1651107664.9178364,70,24.77401351928711
1651107665.1986907,71,25.10104751586914
1651107665.469589,72,25.435924530029297
1651107665.7475028,73,25.76473617553711
1651107666.0248988,74,26.096118927001953
1651107666.3077047,75,26.431678771972656
1651107666.4346187,76,26.776451110839844
1651107666.720781,77,27.10713005065918
1651107667.0043426,78,27.559215545654297
1651107667.2637389,79,27.882862091064453
1651107667.5065012,80,28.222270965576172
1651107667.7811103,81,28.54840850830078
1651107668.0459068,82,28.872648239135742
1651107668.313306,83,29.303842544555664
1651107668.58641,84,29.62775230407715
1651107668.8631823,85,30.061349868774414
1651107669.140948,86,30.385419845581055
1651107669.4218569,87,30.711584091186523
1651107669.7005515,88,31.0347957611084
1651107669.9850922,89,31.362743377685547
1651107670.248669,90,31.702150344848633
1651107670.5408063,91,32.03243637084961
1651107670.6794417,92,32.382076263427734
1651107670.7993975,93,32.81780242919922
1651107670.937209,94,33.16492462158203
1651107671.220461,95,33.50132369995117
1651107671.513355,96,33.95564651489258
1651107671.806596,97,34.28753662109375
1651107672.0911245,98,34.60976791381836
1651107672.3687181,99,34.937705993652344
1651107672.6457703,100,35.267215728759766
1651107672.9339952,101,35.59941101074219
1651107673.2283592,102,35.93050003051758
1651107673.5056307,103,36.26478576660156
1651107673.7852437,104,36.59741973876953
1651107674.0604136,105,36.93191909790039
1651107674.3400645,106,37.37782669067383
1651107674.5918696,107,37.82851028442383
1651107674.8275492,108,38.27970504760742
1651107675.05851,109,38.65275573730469
1651107675.1752703,110,38.98703384399414
1651107675.4464483,111,39.320533752441406
1651107675.608151,112,39.772464752197266
1651107675.7892199,113,40.13773727416992
1651107675.8965657,114,40.4434814453125
1651107676.002004,115,40.74903869628906
1651107676.1077049,116,41.05453872680664
1651107676.2963383,117,41.420467376708984
1651107676.4047866,118,41.72616195678711
1651107676.5249898,119,42.07359313964844
1651107676.6184316,120,42.3819465637207
1651107676.7378404,121,42.728824615478516
1651107676.8301356,122,42.96824264526367
1651107676.92418,123,43.20836639404297
1651107677.0172186,124,43.44807052612305
1651107677.2944357,125,43.89118957519531
1651107677.4307938,126,44.2486572265625
1651107677.5665793,127,44.69844055175781
1651107677.7064402,128,45.057342529296875
1651107677.8184903,129,45.47105407714844
1651107677.9115455,130,45.727542877197266
1651107678.047982,131,46.08403778076172
1651107678.184751,132,46.44019317626953
1651107678.3208065,133,46.796695709228516
1651107678.4555805,134,47.15251541137695
1651107678.5479915,135,47.40218734741211
1651107678.6375792,136,47.66460418701172
1651107678.7296999,137,47.91514205932617
1651107678.8195658,138,48.17768096923828
1651107678.9115467,139,48.42802810668945
1651107679.0053043,140,48.6787109375
1651107679.0956533,141,48.94007873535156
1651107679.18517,142,49.203651428222656
1651107679.2829273,143,49.47982406616211
1651107679.370018,144,49.71980667114258
1651107679.457348,145,49.960811614990234
1651107679.7162297,146,50.29796600341797
1651107679.9806936,147,50.63406753540039
1651107680.2442875,148,50.96965408325195
1651107680.3638854,149,51.31727981567383
1651107680.6461399,150,51.64662551879883
1651107680.9278343,151,51.97547912597656
1651107681.210089,152,52.308738708496094
1651107681.4904623,153,52.638275146484375
1651107681.7471504,154,52.97490692138672
1651107682.0018837,155,53.321109771728516
1651107682.2788708,156,53.65142822265625
1651107682.5541208,157,53.98154067993164
1651107682.8287435,158,54.42131423950195
1651107683.107265,159,54.750492095947266
1651107683.390808,160,55.08262252807617
1651107683.6750004,161,55.40922546386719
1651107683.8119652,162,55.76869583129883
1651107684.0939388,163,56.0986442565918
1651107684.3688786,164,56.432926177978516
1651107684.4575593,165,56.680145263671875
1651107684.7509801,166,57.01852798461914
1651107685.0433514,167,57.35647964477539
1651107685.1393743,168,57.594608306884766
1651107685.4308574,169,57.9306755065918
1651107685.7065852,170,58.25834655761719
1651107685.9894593,171,58.691436767578125
1651107686.1296523,172,59.04914474487305
1651107686.4229198,173,59.4276123046875
1651107686.715764,174,59.92202377319336
1651107686.9742596,175,60.36089324951172
1651107687.2322936,176,60.70265579223633
1651107687.5132957,177,61.03265380859375
1651107687.7937365,178,61.36611557006836
1651107687.88551,179,61.626983642578125
1651107687.9736223,180,61.8935661315918
1651107688.0619678,181,62.1570930480957
1651107688.1511583,182,62.42237091064453
1651107688.2444,183,62.6821403503418
1651107688.5246844,184,63.01153564453125
1651107688.7971835,185,63.44821548461914
1651107689.073269,186,63.77592468261719
1651107689.3494518,187,64.10172271728516
1651107689.6231847,188,64.42721557617188
1651107689.9132721,189,64.7576675415039
1651107690.2016726,190,65.08797454833984
1651107690.491181,191,65.42679595947266
